,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
205919,2020-01-01 00:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,85,35,104
1302013,2020-01-01 01:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,100,29,107
1282987,2020-01-01 02:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,85,30,99
1208018,2020-01-01 03:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,86,29,87
524520,2020-01-01 04:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,86,35,65
559007,2020-01-01 05:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,96,42,52
810672,2020-01-01 06:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,96,42,77
941835,2020-01-01 07:00:00,29.0093994140625,41.0476684570312,sxk9s0,7,98,45,54
683949,2020-01-01 08:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,90,45,70
583177,2020-01-01 09:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,93,43,83
483880,2020-01-01 10:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,84,41,93
621522,2020-01-01 11:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,100,40,93
80600,2020-01-01 12:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,80,42,108
326586,2020-01-01 13:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,89,41,107
761656,2020-01-01 14:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,88,39,109
532307,2020-01-01 15:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,78,36,120
61030,2020-01-01 16:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,102,35,142
359689,2020-01-01 17:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,81,38,125
696947,2020-01-01 18:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,91,37,119
370676,2020-01-01 19:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,96,41,141
7797,2020-01-01 20:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,94,39,99
1253377,2020-01-01 21:00:00,29.0093994140625,41.0476684570312,sxk9s0,7,92,39,97
693740,2020-01-01 22:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,99,39,102
1065058,2020-01-01 23:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,94,37,99
158427,2020-01-02 00:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,96,35,67
282005,2020-01-02 01:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,100,40,37
738286,2020-01-02 02:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,100,39,25
170706,2020-01-02 03:00:00,29.0093994140625,41.0476684570312,sxk9s0,7,69,41,14
1323249,2020-01-02 04:00:00,29.0093994140625,41.0476684570312,sxk9s0,7,67,39,12
949179,2020-01-02 05:00:00,29.0093994140625,41.0476684570312,sxk9s0,7,97,46,54
847292,2020-01-02 06:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,98,37,129
1136033,2020-01-02 07:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,92,34,153
1144922,2020-01-02 08:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,78,36,157
1210029,2020-01-02 09:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,79,36,167
1209462,2020-01-02 10:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,80,33,166
684425,2020-01-02 11:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,74,34,159
940407,2020-01-02 12:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,77,36,176
1213389,2020-01-02 13:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,81,34,137
1073249,2020-01-02 14:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,74,33,151
474412,2020-01-02 15:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,87,34,144
1070883,2020-01-02 16:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,83,31,117
732905,2020-01-02 17:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,86,22,101
1156453,2020-01-02 18:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,85,20,130
70331,2020-01-02 19:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,87,25,126
772878,2020-01-02 20:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,80,38,119
1154065,2020-01-02 21:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,88,35,124
940580,2020-01-02 22:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,75,34,99
15557,2020-01-02 23:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,81,36,102
863605,2020-01-03 00:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,88,39,79
363060,2020-01-03 01:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,86,39,43
874748,2020-01-03 02:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,82,42,32
875335,2020-01-03 03:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,92,38,26
299542,2020-01-03 04:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,102,47,26
401681,2020-01-03 05:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,103,44,47
553058,2020-01-03 06:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,87,37,123
608774,2020-01-03 07:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,80,36,150
907640,2020-01-03 08:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,76,32,129
852005,2020-01-03 09:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,84,37,165
410950,2020-01-03 10:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,85,34,180
1130115,2020-01-03 11:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,84,36,158
786568,2020-01-03 12:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,77,31,146
417528,2020-01-03 13:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,77,25,149
1037163,2020-01-03 14:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,76,34,117
100913,2020-01-03 15:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,82,30,141
770010,2020-01-03 16:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,70,32,118
622444,2020-01-03 17:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,76,30,124
296619,2020-01-03 18:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,79,35,103
1065871,2020-01-03 19:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,85,36,132
445184,2020-01-03 20:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,79,37,136
998224,2020-01-03 21:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,110,38,129
72613,2020-01-03 22:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,83,34,147
403654,2020-01-03 23:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,77,34,125
609476,2020-01-04 00:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,103,37,120
460979,2020-01-04 01:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,100,40,71
101089,2020-01-04 02:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,125,40,51
1267014,2020-01-04 03:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,101,46,27
727471,2020-01-04 04:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,123,41,30
886573,2020-01-04 05:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,98,47,52
27754,2020-01-04 06:00:00,29.0093994140625,41.0476684570312,sxk9s0,6,100,41,86
