,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
82204,2020-01-01 00:00:00,28.9874267578125,41.0421752929688,sxk97x,6,65,20,102
180531,2020-01-01 01:00:00,28.9874267578125,41.0421752929688,sxk97x,6,74,18,113
430984,2020-01-01 02:00:00,28.9874267578125,41.0421752929688,sxk97x,6,77,19,122
197844,2020-01-01 03:00:00,28.9874267578125,41.0421752929688,sxk97x,6,62,20,103
119196,2020-01-01 04:00:00,28.9874267578125,41.0421752929688,sxk97x,6,76,23,56
546086,2020-01-01 05:00:00,28.9874267578125,41.0421752929688,sxk97x,6,67,20,58
1171626,2020-01-01 06:00:00,28.9874267578125,41.0421752929688,sxk97x,6,66,23,74
863455,2020-01-01 07:00:00,28.9874267578125,41.0421752929688,sxk97x,6,69,27,59
210782,2020-01-01 08:00:00,28.9874267578125,41.0421752929688,sxk97x,6,74,24,58
1095895,2020-01-01 09:00:00,28.9874267578125,41.0421752929688,sxk97x,6,86,24,82
715764,2020-01-01 10:00:00,28.9874267578125,41.0421752929688,sxk97x,6,74,23,115
129226,2020-01-01 11:00:00,28.9874267578125,41.0421752929688,sxk97x,6,74,24,105
1039022,2020-01-01 12:00:00,28.9874267578125,41.0421752929688,sxk97x,6,62,24,105
999857,2020-01-01 13:00:00,28.9874267578125,41.0421752929688,sxk97x,6,61,24,110
740297,2020-01-01 14:00:00,28.9874267578125,41.0421752929688,sxk97x,6,77,25,89
131919,2020-01-01 15:00:00,28.9874267578125,41.0421752929688,sxk97x,6,70,23,121
641676,2020-01-01 16:00:00,28.9874267578125,41.0421752929688,sxk97x,6,60,21,137
250381,2020-01-01 17:00:00,28.9874267578125,41.0421752929688,sxk97x,6,56,22,127
1237116,2020-01-01 18:00:00,28.9874267578125,41.0421752929688,sxk97x,6,59,21,129
635581,2020-01-01 19:00:00,28.9874267578125,41.0421752929688,sxk97x,6,69,21,132
1001657,2020-01-01 20:00:00,28.9874267578125,41.0421752929688,sxk97x,6,62,22,125
433476,2020-01-01 21:00:00,28.9874267578125,41.0421752929688,sxk97x,6,76,24,79
1206235,2020-01-01 22:00:00,28.9874267578125,41.0421752929688,sxk97x,6,65,21,81
1160961,2020-01-01 23:00:00,28.9874267578125,41.0421752929688,sxk97x,6,64,24,100
