,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
536679,2020-01-01 00:00:00,28.9874267578125,41.0366821289062,sxk97w,6,53,21,49
56271,2020-01-01 01:00:00,28.9874267578125,41.0366821289062,sxk97w,6,53,18,59
13257,2020-01-01 02:00:00,28.9874267578125,41.0366821289062,sxk97w,6,53,16,89
503358,2020-01-01 03:00:00,28.9874267578125,41.0366821289062,sxk97w,6,77,22,66
260662,2020-01-01 04:00:00,28.9874267578125,41.0366821289062,sxk97w,6,77,24,41
576559,2020-01-01 05:00:00,28.9874267578125,41.0366821289062,sxk97w,6,72,24,40
1107134,2020-01-01 06:00:00,28.9874267578125,41.0366821289062,sxk97w,6,79,23,46
1228023,2020-01-01 07:00:00,28.9874267578125,41.0366821289062,sxk97w,6,69,23,43
1020861,2020-01-01 08:00:00,28.9874267578125,41.0366821289062,sxk97w,6,61,25,43
918419,2020-01-01 09:00:00,28.9874267578125,41.0366821289062,sxk97w,6,70,25,74
862949,2020-01-01 10:00:00,28.9874267578125,41.0366821289062,sxk97w,6,69,25,98
570693,2020-01-01 11:00:00,28.9874267578125,41.0366821289062,sxk97w,6,55,21,74
593844,2020-01-01 12:00:00,28.9874267578125,41.0366821289062,sxk97w,6,58,23,84
1048555,2020-01-01 13:00:00,28.9874267578125,41.0366821289062,sxk97w,6,59,22,73
770604,2020-01-01 14:00:00,28.9874267578125,41.0366821289062,sxk97w,6,61,22,78
1324029,2020-01-01 15:00:00,28.9874267578125,41.0366821289062,sxk97w,6,77,24,102
106126,2020-01-01 16:00:00,28.9874267578125,41.0366821289062,sxk97w,6,56,21,91
191568,2020-01-01 17:00:00,28.9874267578125,41.0366821289062,sxk97w,6,75,20,93
1158991,2020-01-01 18:00:00,28.9874267578125,41.0366821289062,sxk97w,6,54,19,101
427700,2020-01-01 19:00:00,28.9874267578125,41.0366821289062,sxk97w,6,57,20,104
288059,2020-01-01 20:00:00,28.9874267578125,41.0366821289062,sxk97w,6,53,19,110
550819,2020-01-01 21:00:00,28.9874267578125,41.0366821289062,sxk97w,6,60,18,68
1306726,2020-01-01 22:00:00,28.9874267578125,41.0366821289062,sxk97w,6,61,22,58
