,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
40308,2020-01-03 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,64,17,345
1138989,2020-01-03 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,108,24,272
812494,2020-01-03 20:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,117,40,302
1276873,2020-01-03 21:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,115,49,324
1024943,2020-01-03 22:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,122,49,286
602295,2020-01-03 23:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,117,58,273
810157,2020-01-04 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,127,56,250
607346,2020-01-04 01:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,142,52,152
527334,2020-01-04 02:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,137,61,105
802536,2020-01-04 03:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,157,60,85
940814,2020-01-04 04:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,137,55,63
1321316,2020-01-04 05:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,126,63,108
115617,2020-01-04 06:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,129,59,193
479687,2020-01-04 07:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,125,54,302
1151749,2020-01-04 08:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,121,48,336
325309,2020-01-04 09:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,118,43,407
111179,2020-01-04 10:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,104,41,353
861322,2020-01-04 11:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,107,39,347
898050,2020-01-04 12:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,92,32,310
55185,2020-01-04 13:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,103,31,317
1113253,2020-01-04 14:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,131,26,295
645172,2020-01-04 15:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,25,321
341390,2020-01-04 16:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,109,28,278
3521,2020-01-04 17:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,87,25,261
491073,2020-01-04 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,109,22,270
1170915,2020-01-04 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,97,26,269
1077019,2020-01-04 20:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,113,30,293
151622,2020-01-04 21:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,124,48,291
639776,2020-01-04 22:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,121,46,269
383667,2020-01-04 23:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,95,43,248
920147,2020-01-05 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,137,55,261
