,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
932266,2020-01-01 00:00:00,28.9984130859375,41.0421752929688,sxk97z,6,65,24,96
1074568,2020-01-01 01:00:00,28.9984130859375,41.0421752929688,sxk97z,6,63,22,119
1317075,2020-01-01 02:00:00,28.9984130859375,41.0421752929688,sxk97z,6,66,22,111
1055141,2020-01-01 03:00:00,28.9984130859375,41.0421752929688,sxk97z,6,77,27,95
1213553,2020-01-01 04:00:00,28.9984130859375,41.0421752929688,sxk97z,6,74,27,56
283224,2020-01-01 05:00:00,28.9984130859375,41.0421752929688,sxk97z,6,64,35,51
439377,2020-01-01 06:00:00,28.9984130859375,41.0421752929688,sxk97z,6,83,37,56
127285,2020-01-01 07:00:00,28.9984130859375,41.0421752929688,sxk97z,6,75,37,39
954746,2020-01-01 08:00:00,28.9984130859375,41.0421752929688,sxk97z,6,90,35,47
646720,2020-01-01 09:00:00,28.9984130859375,41.0421752929688,sxk97z,7,76,37,72
117417,2020-01-01 10:00:00,28.9984130859375,41.0421752929688,sxk97z,6,77,36,92
1117045,2020-01-01 11:00:00,28.9984130859375,41.0421752929688,sxk97z,6,72,30,92
910850,2020-01-01 12:00:00,28.9984130859375,41.0421752929688,sxk97z,6,65,30,115
1116036,2020-01-01 13:00:00,28.9984130859375,41.0421752929688,sxk97z,6,68,29,111
240419,2020-01-01 14:00:00,28.9984130859375,41.0421752929688,sxk97z,6,66,30,95
1016850,2020-01-01 15:00:00,28.9984130859375,41.0421752929688,sxk97z,6,63,25,127
380396,2020-01-01 16:00:00,28.9984130859375,41.0421752929688,sxk97z,6,67,24,126
480261,2020-01-01 17:00:00,28.9984130859375,41.0421752929688,sxk97z,6,67,26,105
121539,2020-01-01 18:00:00,28.9984130859375,41.0421752929688,sxk97z,6,63,28,122
1327957,2020-01-01 19:00:00,28.9984130859375,41.0421752929688,sxk97z,6,67,29,97
1166294,2020-01-01 20:00:00,28.9984130859375,41.0421752929688,sxk97z,6,62,29,92
