,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
250938,2020-01-01 00:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,56,17,108
242661,2020-01-01 01:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,68,16,97
632384,2020-01-01 02:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,54,16,98
761160,2020-01-01 03:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,57,17,94
309419,2020-01-01 04:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,66,17,72
558718,2020-01-01 05:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,70,28,63
558461,2020-01-01 06:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,73,29,70
781812,2020-01-01 07:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,84,27,49
1046916,2020-01-01 08:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,91,25,65
1026770,2020-01-01 09:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,84,25,91
757615,2020-01-01 10:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,74,26,96
787140,2020-01-01 11:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,61,25,101
1139148,2020-01-01 12:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,70,25,118
831489,2020-01-01 13:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,71,25,126
435556,2020-01-01 14:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,62,22,126
950109,2020-01-01 15:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,68,18,139
1032207,2020-01-01 16:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,67,18,146
1250228,2020-01-01 17:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,56,19,138
726893,2020-01-01 18:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,64,19,127
1089323,2020-01-01 19:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,57,20,144
189190,2020-01-01 20:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,55,20,103
867381,2020-01-01 21:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,62,21,97
700923,2020-01-01 22:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,81,22,106
897252,2020-01-01 23:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,65,22,101
648362,2020-01-02 00:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,68,24,83
183475,2020-01-02 01:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,90,28,51
1110593,2020-01-02 02:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,97,39,25
1108937,2020-01-02 03:00:00,29.0093994140625,41.0421752929688,sxk9kp,7,74,37,23
678005,2020-01-02 04:00:00,29.0093994140625,41.0421752929688,sxk9kp,9,85,38,12
664827,2020-01-02 05:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,77,38,49
846929,2020-01-02 06:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,90,29,120
180288,2020-01-02 07:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,62,23,158
272938,2020-01-02 08:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,53,20,186
1144395,2020-01-02 09:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,74,22,198
820460,2020-01-02 10:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,61,21,196
1255622,2020-01-02 11:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,63,21,181
958838,2020-01-02 12:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,58,20,201
782955,2020-01-02 13:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,58,19,167
433551,2020-01-02 14:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,55,19,163
312063,2020-01-02 15:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,53,19,172
545004,2020-01-02 16:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,58,19,131
1235213,2020-01-02 17:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,49,19,102
935050,2020-01-02 18:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,58,17,138
1017572,2020-01-02 19:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,50,20,144
1262603,2020-01-02 20:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,58,20,134
720754,2020-01-02 21:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,66,21,132
626669,2020-01-02 22:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,54,20,108
849302,2020-01-02 23:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,59,22,112
306041,2020-01-03 00:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,71,24,88
1166426,2020-01-03 01:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,74,24,48
468511,2020-01-03 02:00:00,29.0093994140625,41.0421752929688,sxk9kp,7,72,35,35
36144,2020-01-03 03:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,72,36,28
342813,2020-01-03 04:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,86,41,29
523669,2020-01-03 05:00:00,29.0093994140625,41.0421752929688,sxk9kp,7,75,36,44
194257,2020-01-03 06:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,69,28,116
33704,2020-01-03 07:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,62,23,164
889202,2020-01-03 08:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,60,20,141
888972,2020-01-03 09:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,66,21,206
149179,2020-01-03 10:00:00,29.0093994140625,41.0421752929688,sxk9kp,4,59,20,202
662695,2020-01-03 11:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,65,21,181
299807,2020-01-03 12:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,51,19,182
804720,2020-01-03 13:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,61,18,204
127937,2020-01-03 14:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,56,18,147
1327792,2020-01-03 15:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,51,15,185
936341,2020-01-03 16:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,53,17,147
803340,2020-01-03 17:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,71,19,146
278546,2020-01-03 18:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,47,18,122
278211,2020-01-03 19:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,64,16,163
447866,2020-01-03 20:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,65,21,147
940948,2020-01-03 21:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,62,19,137
582713,2020-01-03 22:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,66,18,146
115708,2020-01-03 23:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,58,18,127
801512,2020-01-04 00:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,60,21,122
1151884,2020-01-04 01:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,66,21,73
61091,2020-01-04 02:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,79,28,52
336455,2020-01-04 03:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,97,34,32
1197717,2020-01-04 04:00:00,29.0093994140625,41.0421752929688,sxk9kp,7,84,30,33
901622,2020-01-04 05:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,102,39,54
394676,2020-01-04 06:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,75,28,83
1085288,2020-01-04 07:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,71,26,96
1158901,2020-01-04 08:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,76,24,131
323503,2020-01-04 09:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,77,23,177
1074105,2020-01-04 10:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,63,21,175
896136,2020-01-04 11:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,59,21,176
363368,2020-01-04 12:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,62,19,187
1067952,2020-01-04 13:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,54,18,149
151714,2020-01-04 14:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,55,16,163
1151364,2020-01-04 15:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,71,18,138
715140,2020-01-04 16:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,55,17,143
579370,2020-01-04 17:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,65,17,150
1121885,2020-01-04 18:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,51,17,120
950604,2020-01-04 19:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,61,17,151
831861,2020-01-04 20:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,54,16,143
265535,2020-01-04 21:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,75,16,135
508374,2020-01-04 22:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,53,17,111
786490,2020-01-04 23:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,56,16,147
1203731,2020-01-05 00:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,57,18,121
1295496,2020-01-05 01:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,68,20,82
127239,2020-01-05 02:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,72,24,60
485753,2020-01-05 03:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,76,32,32
1128297,2020-01-05 04:00:00,29.0093994140625,41.0421752929688,sxk9kp,7,77,37,27
1029641,2020-01-05 05:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,86,38,46
1079561,2020-01-05 06:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,86,30,71
1200440,2020-01-05 07:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,70,26,70
1003032,2020-01-05 08:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,86,26,95
511779,2020-01-05 09:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,71,26,105
476635,2020-01-05 10:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,67,27,139
687798,2020-01-05 11:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,69,24,141
1114582,2020-01-05 12:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,63,24,123
109557,2020-01-05 13:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,62,21,125
532722,2020-01-05 14:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,58,21,146
686474,2020-01-05 15:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,53,18,150
534915,2020-01-05 16:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,55,16,165
60309,2020-01-05 17:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,57,19,137
1089053,2020-01-05 18:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,56,18,135
719299,2020-01-05 19:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,58,19,119
903624,2020-01-05 20:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,56,18,107
663449,2020-01-05 21:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,61,21,106
958669,2020-01-05 22:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,57,20,113
1227028,2020-01-05 23:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,69,23,101
490028,2020-01-06 00:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,74,23,73
578011,2020-01-06 01:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,67,27,46
800674,2020-01-06 02:00:00,29.0093994140625,41.0421752929688,sxk9kp,7,75,34,30
759887,2020-01-06 03:00:00,29.0093994140625,41.0421752929688,sxk9kp,11,80,41,19
336219,2020-01-06 04:00:00,29.0093994140625,41.0421752929688,sxk9kp,10,93,39,11
1047075,2020-01-06 05:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,112,38,51
1026667,2020-01-06 06:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,76,29,98
1252076,2020-01-06 07:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,69,24,136
1186321,2020-01-06 08:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,55,18,127
164317,2020-01-06 09:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,57,22,174
398341,2020-01-06 10:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,61,22,152
596816,2020-01-06 11:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,58,23,163
1062025,2020-01-06 12:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,67,20,145
243986,2020-01-06 13:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,65,19,172
315577,2020-01-06 14:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,57,21,173
748078,2020-01-06 15:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,51,20,197
1070738,2020-01-06 16:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,55,18,126
1266172,2020-01-06 17:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,59,16,117
385169,2020-01-06 18:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,58,17,123
885211,2020-01-06 19:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,56,16,150
171056,2020-01-06 20:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,78,21,120
195989,2020-01-06 21:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,71,24,114
700062,2020-01-06 22:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,71,20,116
1263864,2020-01-06 23:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,66,23,104
293732,2020-01-07 00:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,63,23,72
942193,2020-01-07 01:00:00,29.0093994140625,41.0421752929688,sxk9kp,7,83,33,44
1231529,2020-01-07 02:00:00,29.0093994140625,41.0421752929688,sxk9kp,7,83,37,36
443710,2020-01-07 03:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,69,38,15
86832,2020-01-07 04:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,88,36,17
657093,2020-01-07 05:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,78,36,49
411864,2020-01-07 06:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,69,28,107
1036211,2020-01-07 07:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,69,24,179
153349,2020-01-07 08:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,60,18,159
808045,2020-01-07 09:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,65,21,187
570993,2020-01-07 10:00:00,29.0093994140625,41.0421752929688,sxk9kp,6,65,21,171
