,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
353712,2020-01-01 00:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,135,42,243
119248,2020-01-01 01:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,96,42,267
372878,2020-01-01 02:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,116,47,221
753650,2020-01-01 03:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,133,49,164
669959,2020-01-01 04:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,109,49,111
76237,2020-01-01 05:00:00,29.0093994140625,41.0641479492188,sxk9s5,9,107,55,120
420863,2020-01-01 06:00:00,29.0093994140625,41.0641479492188,sxk9s5,7,129,57,131
594144,2020-01-01 07:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,107,52,145
489203,2020-01-01 08:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,114,49,147
324555,2020-01-01 09:00:00,29.0093994140625,41.0641479492188,sxk9s5,8,111,47,165
1277165,2020-01-01 10:00:00,29.0093994140625,41.0641479492188,sxk9s5,7,125,48,184
1299197,2020-01-01 11:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,105,44,165
1057338,2020-01-01 12:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,111,47,236
202486,2020-01-01 13:00:00,29.0093994140625,41.0641479492188,sxk9s5,7,103,48,290
522514,2020-01-01 14:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,99,40,293
776810,2020-01-01 15:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,105,35,289
192536,2020-01-01 16:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,102,34,267
969818,2020-01-01 17:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,106,37,244
983018,2020-01-01 18:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,104,40,258
836039,2020-01-01 19:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,96,39,271
66298,2020-01-01 20:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,109,45,263
627743,2020-01-01 21:00:00,29.0093994140625,41.0641479492188,sxk9s5,4,102,49,259
1184029,2020-01-01 22:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,106,49,244
1261833,2020-01-01 23:00:00,29.0093994140625,41.0641479492188,sxk9s5,7,107,50,212
668044,2020-01-02 00:00:00,29.0093994140625,41.0641479492188,sxk9s5,7,152,53,163
660436,2020-01-02 01:00:00,29.0093994140625,41.0641479492188,sxk9s5,8,138,54,104
480513,2020-01-02 02:00:00,29.0093994140625,41.0641479492188,sxk9s5,8,136,56,62
128248,2020-01-02 03:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,99,53,42
344368,2020-01-02 04:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,121,56,55
1082330,2020-01-02 05:00:00,29.0093994140625,41.0641479492188,sxk9s5,7,106,54,159
1165003,2020-01-02 06:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,108,53,502
1030377,2020-01-02 07:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,107,40,619
51111,2020-01-02 08:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,108,29,508
216377,2020-01-02 09:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,93,35,438
709840,2020-01-02 10:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,98,37,438
492523,2020-01-02 11:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,95,42,391
178865,2020-01-02 12:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,100,39,395
928935,2020-01-02 13:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,93,33,408
1321108,2020-01-02 14:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,90,31,417
133497,2020-01-02 15:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,96,30,423
130089,2020-01-02 16:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,87,29,351
640275,2020-01-02 17:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,92,26,289
428700,2020-01-02 18:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,88,24,375
317446,2020-01-02 19:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,88,26,369
963163,2020-01-02 20:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,102,29,359
615516,2020-01-02 21:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,98,32,295
463697,2020-01-02 22:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,105,46,288
1113183,2020-01-02 23:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,108,47,260
1163161,2020-01-03 00:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,104,46,211
676182,2020-01-03 01:00:00,29.0093994140625,41.0641479492188,sxk9s5,7,124,49,123
1227645,2020-01-03 02:00:00,29.0093994140625,41.0641479492188,sxk9s5,7,125,55,79
669714,2020-01-03 03:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,115,50,52
927848,2020-01-03 04:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,124,59,62
862728,2020-01-03 05:00:00,29.0093994140625,41.0641479492188,sxk9s5,9,139,53,144
1103743,2020-01-03 06:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,105,51,515
56298,2020-01-03 07:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,92,39,576
213074,2020-01-03 08:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,99,29,423
1165391,2020-01-03 09:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,113,36,409
1017910,2020-01-03 10:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,95,36,419
17794,2020-01-03 11:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,92,36,381
1083940,2020-01-03 12:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,95,36,386
364194,2020-01-03 13:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,90,38,333
357737,2020-01-03 14:00:00,29.0093994140625,41.0641479492188,sxk9s5,6,88,33,336
