,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
256401,2020-01-01 00:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,49,25,28
638068,2020-01-01 01:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,54,22,28
837670,2020-01-01 02:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,82,26,26
853632,2020-01-01 03:00:00,28.9984130859375,41.0586547851562,sxk9ef,7,53,22,12
962305,2020-01-01 05:00:00,28.9984130859375,41.0586547851562,sxk9ef,8,48,24,11
1197591,2020-01-01 06:00:00,28.9984130859375,41.0586547851562,sxk9ef,7,55,25,13
434530,2020-01-01 07:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,52,22,22
1158295,2020-01-01 08:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,51,19,14
543072,2020-01-01 09:00:00,28.9984130859375,41.0586547851562,sxk9ef,7,53,22,15
786613,2020-01-01 10:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,42,18,12
1297397,2020-01-01 11:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,51,23,21
829889,2020-01-01 12:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,48,22,31
1070915,2020-01-01 13:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,57,22,41
1188858,2020-01-01 14:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,51,23,44
1151091,2020-01-01 15:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,54,21,45
42068,2020-01-01 16:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,59,22,49
887175,2020-01-01 17:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,52,22,48
365008,2020-01-01 18:00:00,28.9984130859375,41.0586547851562,sxk9ef,7,48,23,35
1280271,2020-01-01 19:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,41,19,36
19850,2020-01-01 20:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,47,23,34
274280,2020-01-01 21:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,57,23,29
720493,2020-01-01 22:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,42,22,25
71682,2020-01-01 23:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,56,22,21
156201,2020-01-02 00:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,75,21,18
1327720,2020-01-02 01:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,52,24,11
437279,2020-01-02 05:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,45,24,12
864843,2020-01-02 06:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,60,22,57
1274851,2020-01-02 07:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,43,21,118
975171,2020-01-02 08:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,41,19,110
1227277,2020-01-02 09:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,55,21,81
946148,2020-01-02 10:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,44,19,95
510728,2020-01-02 11:00:00,28.9984130859375,41.0586547851562,sxk9ef,7,42,20,81
170297,2020-01-02 12:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,46,19,99
1216667,2020-01-02 13:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,42,18,74
973828,2020-01-02 14:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,44,18,85
981122,2020-01-02 15:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,53,19,85
323523,2020-01-02 16:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,41,19,88
445280,2020-01-02 17:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,39,16,78
625736,2020-01-02 18:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,39,16,93
32694,2020-01-02 19:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,43,17,79
798363,2020-01-02 20:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,45,19,64
669818,2020-01-02 21:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,56,21,48
596518,2020-01-02 22:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,52,22,42
1067957,2020-01-02 23:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,42,24,21
369734,2020-01-03 00:00:00,28.9984130859375,41.0586547851562,sxk9ef,7,56,23,27
1084019,2020-01-03 06:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,50,23,50
37833,2020-01-03 07:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,59,20,116
1288816,2020-01-03 08:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,49,18,107
1241438,2020-01-03 09:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,51,20,85
1259969,2020-01-03 10:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,49,19,102
1314164,2020-01-03 11:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,46,18,81
1229830,2020-01-03 12:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,47,20,84
755018,2020-01-03 13:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,37,16,76
1147080,2020-01-03 14:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,49,19,105
1042606,2020-01-03 15:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,44,16,88
448684,2020-01-03 16:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,41,17,87
959630,2020-01-03 17:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,39,18,87
564279,2020-01-03 18:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,47,17,86
205757,2020-01-03 19:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,44,19,75
761842,2020-01-03 20:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,41,22,45
1161490,2020-01-03 21:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,43,21,50
110676,2020-01-03 22:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,54,21,44
135466,2020-01-03 23:00:00,28.9984130859375,41.0586547851562,sxk9ef,8,53,25,28
1000699,2020-01-04 00:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,50,26,31
580648,2020-01-04 01:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,56,23,25
254834,2020-01-04 02:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,45,21,13
477795,2020-01-04 03:00:00,28.9984130859375,41.0586547851562,sxk9ef,7,47,25,15
34822,2020-01-04 06:00:00,28.9984130859375,41.0586547851562,sxk9ef,7,51,22,20
790041,2020-01-04 07:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,69,24,37
1171275,2020-01-04 08:00:00,28.9984130859375,41.0586547851562,sxk9ef,6,54,21,53
