,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
334199,2020-01-01 00:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,28,13,18
773799,2020-01-01 01:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,32,12,25
853086,2020-01-01 02:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,50,12,38
729335,2020-01-01 03:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,53,14,29
848887,2020-01-01 04:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,55,19,26
347360,2020-01-01 05:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,61,25,23
703120,2020-01-01 08:00:00,29.0203857421875,41.0476684570312,sxk9s2,7,67,34,11
1260207,2020-01-01 10:00:00,29.0203857421875,41.0476684570312,sxk9s2,7,66,29,17
32044,2020-01-01 11:00:00,29.0203857421875,41.0476684570312,sxk9s2,8,68,29,23
1230267,2020-01-01 12:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,57,27,29
748298,2020-01-01 13:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,53,23,28
657765,2020-01-01 14:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,49,18,30
269515,2020-01-01 15:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,45,14,46
793280,2020-01-01 16:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,42,14,49
258623,2020-01-01 17:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,43,14,47
941256,2020-01-01 18:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,50,20,36
98028,2020-01-01 19:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,56,22,40
484341,2020-01-01 20:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,63,20,31
312614,2020-01-01 21:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,47,17,31
221797,2020-01-01 22:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,57,17,30
1282591,2020-01-01 23:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,54,22,33
1011257,2020-01-02 00:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,106,25,27
1281981,2020-01-02 01:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,67,28,33
132729,2020-01-02 02:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,71,30,18
328319,2020-01-02 03:00:00,29.0203857421875,41.0476684570312,sxk9s2,7,76,39,15
517569,2020-01-02 05:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,86,36,12
123488,2020-01-02 06:00:00,29.0203857421875,41.0476684570312,sxk9s2,12,75,35,25
888364,2020-01-02 07:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,59,29,49
697431,2020-01-02 08:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,57,25,51
165521,2020-01-02 09:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,61,27,54
10926,2020-01-02 10:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,60,24,41
164767,2020-01-02 11:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,72,27,60
366039,2020-01-02 12:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,63,24,60
902156,2020-01-02 13:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,55,21,51
39905,2020-01-02 14:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,54,24,39
1230722,2020-01-02 15:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,49,23,36
1196825,2020-01-02 16:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,48,19,27
328903,2020-01-02 17:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,47,19,35
1205425,2020-01-02 18:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,52,21,41
1270168,2020-01-02 19:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,73,21,42
665963,2020-01-02 20:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,61,24,26
1278695,2020-01-02 21:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,73,23,37
305542,2020-01-02 22:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,55,23,25
588990,2020-01-02 23:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,57,22,36
1145753,2020-01-03 00:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,81,27,26
100383,2020-01-03 01:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,81,30,18
45911,2020-01-03 02:00:00,29.0203857421875,41.0476684570312,sxk9s2,7,83,36,13
1327570,2020-01-03 03:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,85,39,11
1210492,2020-01-03 04:00:00,29.0203857421875,41.0476684570312,sxk9s2,7,88,30,12
258147,2020-01-03 05:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,77,38,16
561400,2020-01-03 06:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,69,33,30
762245,2020-01-03 07:00:00,29.0203857421875,41.0476684570312,sxk9s2,7,62,29,44
519181,2020-01-03 08:00:00,29.0203857421875,41.0476684570312,sxk9s2,7,66,26,49
49811,2020-01-03 09:00:00,29.0203857421875,41.0476684570312,sxk9s2,7,65,29,50
994845,2020-01-03 10:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,79,26,45
715962,2020-01-03 11:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,64,24,51
699636,2020-01-03 12:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,65,23,67
612112,2020-01-03 13:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,60,23,59
523118,2020-01-03 14:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,62,22,52
7550,2020-01-03 15:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,59,27,51
870699,2020-01-03 16:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,57,22,38
226715,2020-01-03 17:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,58,19,54
546176,2020-01-03 18:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,75,23,32
753709,2020-01-03 19:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,64,23,46
348491,2020-01-03 20:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,66,21,34
478267,2020-01-03 21:00:00,29.0203857421875,41.0476684570312,sxk9s2,6,70,21,39
